17/11/2025;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;6,13742426234291E-02;8,79159056172397E-02;0,072992194172942;0,23005129271874;2,10805428549381;0,177375770531582
IPCA;6,61525314628992E-02;0,075102152226999;-6,44000643125419E-02;3,26130798863645E-02;1,40870453508938;0,502341350662641

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
252;9,3538;13,7708;4,0391
378;8,5946;13,2697;4,3050
504;8,2206;13,0224;4,4370
630;8,0287;12,9538;4,5590
756;7,9208;12,9916;4,6986
882;7,8503;13,0852;4,8538
1.008;7,7956;13,2028;5,0161
1.134;7,7472;13,3251;5,1768
1.260;7,7011;13,4410;5,3294
1.386;7,6561;13,5443;5,4694
1.512;7,6120;13,6320;5,5941
1.638;7,5689;13,7028;5,7022
1.764;7,5271;13,7565;5,7933
1.890;7,4869;13,7935;5,8673
2.016;7,4486;13,8149;5,9249
2.142;7,4121;13,8215;5,9671
2.268;7,3777;13,8148;5,9948
2.394;7,3452;;
2.520;7,3147;;
2.646;7,2860;;
2.772;7,2591;;
2.898;7,2340;;
3.024;7,2104;;
3.150;7,1883;;
3.276;7,1676;;
3.402;7,1481;;
3.528;7,1299;;
3.654;7,1128;;
3.780;7,0967;;
3.906;7,0815;;
4.032;7,0673;;
4.158;7,0538;;
4.284;7,0411;;
4.410;7,0290;;
4.536;7,0177;;
4.662;7,0069;;
4.788;6,9966;;
4.914;6,9869;;
5.040;6,9776;;
5.166;6,9688;;
5.292;6,9604;;
5.418;6,9524;;
5.544;6,9448;;
5.670;6,9375;;
5.796;6,9305;;
5.922;6,9238;;
6.048;6,9173;;
6.174;6,9112;;
6.300;6,9053;;
6.426;6,8996;;
6.552;6,8941;;
6.678;6,8889;;
6.804;6,8838;;
6.930;6,8789;;
7.056;6,8742;;
7.182;6,8697;;
7.308;6,8653;;
7.434;6,8610;;
7.560;6,8569;;
7.686;6,8530;;
7.812;6,8491;;
7.938;6,8454;;
8.064;6,8418;;
8.190;6,8383;;
8.316;6,8350;;
8.442;6,8317;;
8.568;6,8285;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;14,9392
42;14,9020
63;14,8304
126;14,5005
252;13,7708
504;13,0224
756;12,9916
1.008;13,2028
1.260;13,4410
2.520;

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/01/2026;0,0315
LTN;100000;01/04/2026;0,0044
LTN;100000;01/07/2026;-0,0292
LTN;100000;01/10/2026;-0,0112
LTN;100000;01/04/2027;-0,0246
LTN;100000;01/07/2027;-0,0101
LTN;100000;01/10/2027;-0,0185
LTN;100000;01/01/2028;0,0430
LTN;100000;01/07/2028;0,0546
LTN;100000;01/01/2029;0,0015
LTN;100000;01/07/2029;-0,0117
LTN;100000;01/01/2030;0,0214
LTN;100000;01/01/2032;0,0949
NTN-F;950199;01/01/2027;0,0414
NTN-F;950199;01/01/2029;-0,0263
NTN-F;950199;01/01/2031;-0,0474
NTN-F;950199;01/01/2033;0,0019
NTN-F;950199;01/01/2035;-0,0061
NTN-B;760199;15/08/2026;-0,0128
NTN-B;760199;15/05/2027;0,0119
NTN-B;760199;15/08/2028;-0,0327
NTN-B;760199;15/05/2029;0,0352
NTN-B;760199;15/08/2030;0,0164
NTN-B;760199;15/08/2032;-0,0262
NTN-B;760199;15/05/2033;-0,0348
NTN-B;760199;15/05/2035;0,0203
NTN-B;760199;15/08/2040;0,0197
NTN-B;760199;15/05/2045;0,0031
NTN-B;760199;15/08/2050;0,0250
NTN-B;760199;15/05/2055;-0,0043
NTN-B;760199;15/08/2060;-0,0276

