Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 22/10/2015 / Data final: 20/10/2025.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Taxa média;Taxa mediana;Taxa modal;Desvio padrão;Índice de curtose;
20/10/2025;14,9;1,00055131;1.396.092.499.074,08;849;14,9;14,89;14,9;0,0223;1656,2693;
17/10/2025;14,9;1,00055131;1.400.828.198.311,8;877;14,9;14,89;14,9;0,0233;1511,2862;
16/10/2025;14,9;1,00055131;1.418.612.081.117,08;866;14,9;14,89;14,9;0,0241;1271,4606;
15/10/2025;14,9;1,00055131;1.414.614.029.310,42;865;14,9;14,89;14,9;0,0232;1630,3135;
14/10/2025;14,9;1,00055131;1.421.255.008.473,92;857;14,9;14,89;14,9;0,0244;1122,1346;
13/10/2025;14,9;1,00055131;1.428.762.157.254,83;861;14,9;14,89;14,9;0,0231;1354,0340;
10/10/2025;14,9;1,00055131;1.413.790.916.913,4;887;14,9;14,89;14,9;0,0227;1450,5034;
09/10/2025;14,9;1,00055131;1.433.294.293.824,9;859;14,9;14,89;14,9;0,0230;1400,6797;
08/10/2025;14,9;1,00055131;1.425.069.940.248,86;834;14,9;14,89;14,9;0,0243;1325,6096;
07/10/2025;14,9;1,00055131;1.441.460.870.974,13;859;14,9;14,89;14,9;0,0237;1448,0078;
06/10/2025;14,9;1,00055131;1.434.634.682.970,15;843;14,9;14,89;14,9;0,0261;1344,4888;
03/10/2025;14,9;1,00055131;1.438.780.430.999,33;839;14,9;14,89;14,9;0,0235;1495,3882;
02/10/2025;14,9;1,00055131;1.461.715.905.058,47;923;14,9;14,89;14,9;0,0307;11380,0438;
01/10/2025;14,9;1,00055131;1.441.641.187.604,42;904;14,9;14,89;14,9;0,0239;1269,3889;
30/09/2025;14,9;1,00055131;1.229.893.071.899;742;14,9;14,89;14,9;0,0248;1412,6658;
29/09/2025;14,9;1,00055131;1.271.793.013.149,38;831;14,9;14,89;14,9;0,0244;1285,4933;
26/09/2025;14,9;1,00055131;1.285.916.823.448,48;889;14,9;14,89;14,9;0,0243;1314,9602;
25/09/2025;14,9;1,00055131;1.328.010.191.909,91;905;14,9;14,89;14,9;0,0261;1018,4277;
24/09/2025;14,9;1,00055131;1.312.007.340.372,45;830;14,9;14,89;14,9;0,0237;1350,0647;
23/09/2025;14,9;1,00055131;1.346.980.059.333,07;808;14,9;14,89;14,9;0,0238;4206,2785;
22/09/2025;14,9;1,00055131;1.338.521.138.511,91;845;14,9;14,89;14,9;0,0237;1401,6331;
19/09/2025;14,9;1,00055131;1.382.646.213.101,21;829;14,9;14,89;14,9;0,0228;1572,6299;
18/09/2025;14,9;1,00055131;1.416.398.477.645,21;830;14,9;14,89;14,9;0,0220;1677,6174;
17/09/2025;14,9;1,00055131;1.288.292.592.151,26;848;14,9;14,89;14,9;0,0237;1394,8574;
16/09/2025;14,9;1,00055131;1.294.222.694.661,74;887;14,9;14,89;14,9;0,0238;1300,3669;
15/09/2025;14,9;1,00055131;1.316.060.617.807,37;885;14,9;14,89;14,9;0,0243;1891,0077;
12/09/2025;14,9;1,00055131;1.305.133.087.217,46;880;14,9;14,89;14,9;0,0250;1108,3562;
11/09/2025;14,9;1,00055131;1.326.759.554.093,28;882;14,9;14,89;14,9;0,0241;1504,7816;
10/09/2025;14,9;1,00055131;1.331.280.104.999,7;839;14,9;14,89;14,9;0,0238;1227,9513;
09/09/2025;14,9;1,00055131;1.329.064.182.636,45;862;14,9;14,89;14,9;0,0238;1225,7787;
08/09/2025;14,9;1,00055131;1.298.351.917.767,36;864;14,9;14,89;14,9;0,0291;5289,3470;
05/09/2025;14,9;1,00055131;1.297.330.178.543,95;899;14,9;14,89;14,9;0,0217;980,8509;
04/09/2025;14,9;1,00055131;1.305.521.371.488,19;889;14,9;14,89;14,9;0,0224;1202,5254;
03/09/2025;14,9;1,00055131;1.337.579.888.935,48;864;14,9;14,89;14,9;0,0224;1163,7803;
02/09/2025;14,9;1,00055131;1.331.145.942.908,44;919;14,9;14,89;14,9;0,0233;1023,8198;
01/09/2025;14,9;1,00055131;1.307.142.797.935,18;847;14,9;14,89;14,9;0,0243;3722,0222;
29/08/2025;14,9;1,00055131;1.017.201.504.084,78;872;14,9;14,89;14,9;0,0242;1005,8444;
28/08/2025;14,9;1,00055131;1.057.647.598.408,71;913;14,9;14,89;14,9;0,0233;1242,9267;
27/08/2025;14,9;1,00055131;1.046.306.569.904,6;912;14,9;14,89;14,9;0,0232;1204,3473;
26/08/2025;14,9;1,00055131;1.055.338.831.578,64;882;14,9;14,89;14,9;0,0232;1303,3430;
25/08/2025;14,9;1,00055131;1.075.850.815.679,76;849;14,9;14,89;14,9;0,0224;1357,8376;
22/08/2025;14,9;1,00055131;1.094.463.734.148,28;860;14,9;14,89;14,9;0,0240;1410,1266;
21/08/2025;14,9;1,00055131;1.124.636.268.033,26;865;14,9;14,89;14,9;0,0210;1236,4935;
20/08/2025;14,9;1,00055131;1.178.398.715.066,13;873;14,9;14,89;14,9;0,0205;1481,0323;
19/08/2025;14,9;1,00055131;1.199.528.561.322,07;834;14,9;14,89;14,9;0,0203;1348,6395;
18/08/2025;14,9;1,00055131;1.211.758.392.426,3;875;14,9;14,89;14,9;0,0218;1203,2028;
15/08/2025;14,9;1,00055131;1.191.581.822.730,08;868;14,9;14,89;14,9;0,0209;8007,7117;
14/08/2025;14,9;1,00055131;1.171.193.439.506,12;853;14,9;14,89;14,9;0,0199;1542,9538;
13/08/2025;14,9;1,00055131;1.167.468.554.885,84;858;14,9;14,89;14,9;0,0210;1190,1256;
12/08/2025;14,9;1,00055131;1.194.728.776.036,13;870;14,9;14,89;14,9;0,0224;948,9849;
11/08/2025;14,9;1,00055131;1.184.619.041.729,52;866;14,9;14,89;14,9;0,0224;1159,2247;
08/08/2025;14,9;1,00055131;1.179.737.751.272,73;852;14,9;14,89;14,9;0,0235;1363,8766;
07/08/2025;14,9;1,00055131;1.173.362.168.525,27;813;14,9;14,89;14,9;0,0223;2004,0063;
06/08/2025;14,9;1,00055131;1.175.680.051.021,01;849;14,9;14,89;14,9;0,0227;1229,1778;
05/08/2025;14,9;1,00055131;1.190.390.452.684,42;859;14,9;14,89;14,9;0,0224;1067,5938;
04/08/2025;14,9;1,00055131;1.182.624.606.613,9;837;14,9;14,89;14,9;0,0244;1428,1387;
01/08/2025;14,9;1,00055131;1.147.039.513.241,77;865;14,9;14,89;14,9;0,0230;936,3124;
31/07/2025;14,9;1,00055131;1.153.154.078.594,86;864;14,9;14,89;14,9;0,0235;1177,7492;
30/07/2025;14,9;1,00055131;1.211.009.552.737,12;862;14,9;14,89;14,9;0,0224;1038,1218;
29/07/2025;14,9;1,00055131;1.241.173.018.440,8;868;14,9;14,89;14,9;0,0232;1607,1730;
28/07/2025;14,9;1,00055131;1.225.313.610.310,71;858;14,9;14,89;14,9;0,0229;1158,8264;
25/07/2025;14,9;1,00055131;1.223.435.681.991,18;849;14,9;14,89;14,9;0,0227;1135,2881;
24/07/2025;14,9;1,00055131;1.219.889.033.336,13;873;14,9;14,89;14,9;0,0218;1091,8068;
23/07/2025;14,9;1,00055131;1.227.459.512.466,77;854;14,9;14,89;14,9;0,0214;1170,9477;
22/07/2025;14,9;1,00055131;1.251.981.316.158,88;854;14,9;14,89;14,9;0,0226;1228,7551;
21/07/2025;14,9;1,00055131;1.237.192.545.061,12;848;14,9;14,89;14,9;0,0236;1220,6403;
18/07/2025;14,9;1,00055131;1.249.834.188.245,58;819;14,9;14,89;14,9;0,0269;604,9180;
17/07/2025;14,9;1,00055131;1.269.440.470.039,8;857;14,9;14,89;14,9;0,0229;901,2632;
16/07/2025;14,9;1,00055131;1.270.486.773.032,08;890;14,9;14,89;14,9;0,0216;1083,2254;
15/07/2025;14,9;1,00055131;1.291.157.767.633,19;843;14,9;14,89;14,9;0,0220;1132,5903;
14/07/2025;14,9;1,00055131;1.268.212.567.087,68;842;14,9;14,89;14,9;0,0232;844,8043;
11/07/2025;14,9;1,00055131;1.279.276.129.050,59;853;14,9;14,89;14,9;0,0226;761,6221;
10/07/2025;14,9;1,00055131;1.335.325.896.502,77;850;14,9;14,89;14,9;0,0954;37945,6661;
09/07/2025;14,9;1,00055131;1.344.187.208.921,53;819;14,9;14,89;14,9;0,0229;1214,7608;
08/07/2025;14,9;1,00055131;1.350.455.987.856,8;880;14,9;14,89;14,9;0,0238;697,0736;
07/07/2025;14,9;1,00055131;1.338.991.578.589,68;842;14,9;14,89;14,9;0,0227;715,8882;
04/07/2025;14,9;1,00055131;1.334.893.752.215,9;828;14,9;14,89;14,9;0,0223;765,5913;
03/07/2025;14,9;1,00055131;1.334.888.277.316,96;829;14,9;14,89;14,9;0,0235;659,1373;
02/07/2025;14,9;1,00055131;1.441.489.088.724,04;889;14,9;14,89;14,9;0,0255;481,6375;
01/07/2025;14,9;1,00055131;1.467.177.753.475,13;898;14,9;14,89;14,9;0,0225;748,4455;
30/06/2025;14,9;1,00055131;1.238.107.402.675,9;803;14,9;14,89;14,9;0,0212;1018,7752;
27/06/2025;14,9;1,00055131;1.271.041.247.751,94;858;14,9;14,89;14,9;0,1603;7921,9904;
26/06/2025;14,9;1,00055131;1.334.872.106.332,43;851;14,9;14,89;14,9;0,0205;1013,4706;
